Timestamp,Open,High,Low,Close,Volume_sum,SMA,Rolling_STD,Bollinger_Upper_2,Bollinger_Lower_2,Bollinger_Upper_3,Bollinger_Lower_3,Bollinger_Upper_4,Bollinger_Lower_4,RSI,Stochastic
1695798000,26250.5,26250.5,26250.4,26250.5,,,,,,,,,,,
1695798060,26250.4,26250.5,26250.4,26250.5,,,,,,,,,,,
1695798120,26250.4,26250.4,26250.4,26250.4,,,,,,,,,,,
1695798180,,,,,,,,,,,,,,,
1695798240,26250.5,26250.5,26250.4,26250.4,,,,,,,,,,,
1695798300,26250.5,26250.5,26250.4,26250.5,,,,,,,,,,,
1695798360,26250.5,26250.5,26250.5,26250.5,,,,,,,,,,,
1695798420,26250.4,26250.5,26250.4,26250.5,,,,,,,,,,,
1695798480,26250.5,26250.5,26250.5,26250.5,,,,,,,,,,,
1695798540,26250.5,26250.5,26250.4,26250.5,,,,,,,,,,,
1695798600,26250.4,26250.5,26250.4,26250.5,,,,,,,,,,,
1695798660,26250.5,26250.5,26250.4,26250.4,,,,,,,,,,,
1695798720,26250.5,26250.5,26250.5,26250.5,,,,,,,,,,,
1695798780,26250.5,26250.5,26250.5,26250.5,,,,,,,,,,50.0,
1695798840,26250.5,26250.5,26250.4,26250.5,,,,,,,,,,50.0,
1695798900,26250.5,26250.5,26250.5,26250.5,,,,,,,,,,50.0,
1695798960,26250.5,26250.5,26250.4,26250.5,,,,,,,,,,66.66666666666666,
1695799020,26250.5,26250.5,26250.5,26250.5,,,,,,,,,,66.66666666666666,100.0
1695799080,26250.4,26250.5,26250.4,26250.4,,,,,,,,,,50.0,0.0
1695799140,26250.4,26250.5,26250.4,26250.5,,,,,,,,,,50.0,100.0
1695799200,26250.4,26250.5,26250.4,26250.4,,,,,,,,,,39.99999999999999,0.0
1695799260,26250.5,26250.5,26250.4,26250.5,,,,,,,,,,50.0,100.0
1695799320,26250.4,26250.5,26250.4,26250.4,,,,,,,,,,42.857142857142854,0.0
1695799380,26250.5,26250.5,26250.4,26250.5,,26250.475,0.04442616583141132,26250.563852331663,26250.386147668334,26250.608278497493,26250.341721502504,26250.652704663324,26250.297295336673,50.0,100.0
1695799440,26250.4,26250.5,26250.4,26250.5,,26250.48,0.041039134083317864,26250.562078268165,26250.397921731834,26250.60311740225,26250.35688259775,26250.64415653633,26250.315843463668,50.0,100.0
